Title,Features.Handheld?,Features.Max Players,Features.Multiplatform?,Features.Online?,Metadata.Publishers,Metadata.Sequel?,Metrics.Review Score,Metrics.Sales,Metrics.Used Price,Release.Console,Release.Rating,Release.Year,Metadata.Genres,Mean_length_completionist,Mean_length_main_story
Phoenix Wright: Ace Attorney,TRUE,1,TRUE,TRUE,Capcom,TRUE,81,0.38,24.95,Nintendo DS,E,2005,Adventure,22.35,16.91666667
Spider-Man 2,TRUE,1,TRUE,TRUE,Activision,TRUE,67,0.38,14.95,Sony PSP,M,2005,Action,72.56666667,8.35
NFL Street 2,TRUE,4,TRUE,TRUE,EA,TRUE,73,0.37,17.95,Sony PSP,T,2005,Sports,0,0
Kirby: Canvas Curse,TRUE,1,TRUE,TRUE,Nintendo,TRUE,86,0.37,17.95,Nintendo DS,T,2005,Action,16.11666667,5.033333333
Battlefield 2: Modern Combat,TRUE,4,TRUE,TRUE,EA,TRUE,77,0.36,16.95,X360,E,2005,Action,0,6.733333333
Yoshi Touch & Go,TRUE,1,TRUE,TRUE,Nintendo,TRUE,73,0.36,17.95,Nintendo DS,T,2005,Action,0,3
Tiger Woods PGA Tour 06,TRUE,4,TRUE,TRUE,EA,TRUE,71,0.33,9.95,X360,T,2005,Sports,0,0
Condemned: Criminal Origins,TRUE,1,TRUE,TRUE,Sega,TRUE,81,0.33,14.95,X360,E,2005,Action,14.15,7.25
Peter Jackson's King Kong: The Official Game of...,TRUE,2,TRUE,TRUE,Ubisoft,TRUE,80,0.32,14.95,X360,T,2005,Action,7.583333333,6.583333333
Castlevania: Dawn of Sorrow,TRUE,1,TRUE,TRUE,Konami,TRUE,89,0.31,17.95,Nintendo DS,T,2005,Action,30.01666667,11.21666667
SpongeBob SquarePants: The Yellow Avenger,TRUE,1,TRUE,TRUE,THQ,TRUE,67,0.31,13.95,Nintendo DS,E,2005,Action,15.7,8
Marvel Nemesis: Rise of the Imperfects ,TRUE,1,TRUE,TRUE,EA,TRUE,58,0.31,17.95,Sony PSP,T,2005,Action,0,4.366666667
Kameo: Elements of Power,TRUE,1,TRUE,TRUE,Microsoft,TRUE,79,0.31,11.95,X360,T,2005,Action,17,9.25
Advance Wars: Dual Strike,TRUE,1,TRUE,TRUE,Nintendo,TRUE,90,0.3,17.95,Nintendo DS,T,2005,Strategy,292.5,24.2
Trauma Center: Under the Knife,TRUE,1,TRUE,TRUE,Nintendo,TRUE,81,0.3,15.95,Nintendo DS,T,2005,Action,9.066666667,8.15
Coded Arms,TRUE,1,TRUE,TRUE,Konami,TRUE,59,0.3,12.95,Sony PSP,M,2005,Action,0,4.816666667
NBA LIVE 06 ,TRUE,1,TRUE,TRUE,EA,TRUE,64,0.29,4.95,X360,E,2005,Sports,0,4
Tony Hawk's American Wasteland,TRUE,1,TRUE,TRUE,Activision,TRUE,75,0.29,14.95,X360,E,2005,Sports,15,11.8
Star Wars: Episode III - Revenge of the Sith,TRUE,1,TRUE,TRUE,Ubisoft,TRUE,73,0.28,16.95,Nintendo DS,E,2005,Action,6.266666667,4.616666667
Capcom Classics Collection Remixed,TRUE,1,TRUE,TRUE,Capcom,TRUE,72,0.28,17.95,Sony PSP,E,2005,Action,0,0
Madagascar,TRUE,1,TRUE,TRUE,Activision,TRUE,66,0.27,14.95,Nintendo DS,E,2005,Adventure,0,5.283333333
X-Men: Legends II - Rise of Apocalypse,TRUE,1,TRUE,TRUE,Activision,TRUE,84,0.27,17.95,Sony PSP,M,2005,Action,23.56666667,22.56666667
Quake 4,TRUE,1,TRUE,TRUE,Activision,TRUE,75,0.27,14.95,X360,E,2005,Action,13.6,7.8
Pokmon Trozei!,TRUE,1,TRUE,TRUE,Nintendo,TRUE,74,0.26,19.95,Nintendo DS,E,2005,Strategy,0,3.233333333
Need for Speed: Most Wanted,TRUE,1,TRUE,TRUE,EA,TRUE,45,0.25,15.95,Nintendo DS,E,2005,Racing,34.6,10.18333333
Mega Man Maverick Hunter X,TRUE,1,TRUE,TRUE,Capcom,TRUE,79,0.25,17.95,Sony PSP,E,2005,Action,7.45,4.066666667
Metroid Prime Pinball,TRUE,1,TRUE,TRUE,Nintendo,TRUE,79,0.22,17.95,Nintendo DS,E,2005,Action,8.666666667,2.683333333
NBA 06,TRUE,1,TRUE,TRUE,Sony,TRUE,72,0.22,9.95,Sony PSP,E,2005,Sports,0,4
GUN ,TRUE,1,TRUE,TRUE,Activision,TRUE,75,0.22,19.95,X360,E,2005,Action,13.18333333,6.3
NBA 2K6 ,TRUE,1,TRUE,TRUE,2K,TRUE,81,0.22,4.95,X360,E,2005,Sports,0.616666667,0
Pinball Hall of Fame: The Gottlieb Collection,TRUE,4,TRUE,TRUE,,TRUE,73,0.21,9.95,Sony PSP,T,2005,Action,0,0
Harry Potter and the Goblet of Fire,TRUE,1,TRUE,TRUE,EA,TRUE,68,0.21,17.95,Nintendo DS,T,2005,Action,15,7.2
Tony Hawk's American Sk8land,TRUE,1,TRUE,TRUE,Activision,TRUE,84,0.21,16.95,Nintendo DS,E,2005,Sports,0,0
MVP Baseball,TRUE,1,TRUE,TRUE,EA,TRUE,67,0.21,4.95,Sony PSP,M,2005,Sports,0,0
Tiger Woods PGA Tour,TRUE,1,TRUE,TRUE,EA,TRUE,78,0.21,17.95,Sony PSP,E,2005,Sports,0,0
World Series of Poker,TRUE,1,TRUE,TRUE,Activision,TRUE,37,0.21,14.95,Sony PSP,E,2005,Sports,0,0
SSX on Tour,TRUE,1,TRUE,TRUE,EA,TRUE,79,0.2,16.95,Sony PSP,E,2005,Sports,0,0
Tiger Woods PGA Tour 06,TRUE,1,TRUE,TRUE,EA,TRUE,80,0.2,9.95,Sony PSP,T,2005,Sports,0,0
Death Jr.,TRUE,1,TRUE,TRUE,Konami,TRUE,61,0.19,9.95,Sony PSP,M,2005,Action,0,3.533333333
Harry Potter and the Goblet of Fire,TRUE,1,TRUE,TRUE,EA,TRUE,70,0.19,17.95,Sony PSP,T,2005,Action,15,7.2
MediEvil Resurrection,TRUE,1,TRUE,TRUE,Sony,TRUE,66,0.19,17.95,Sony PSP,T,2005,Action,9.25,9.966666667
"The Chronicles of Narnia: The Lion, the Witch a...",TRUE,1,TRUE,TRUE,,TRUE,65,0.18,12.95,Nintendo DS,T,2005,Action,0,3.616666667
Shrek SuperSlam,TRUE,1,TRUE,TRUE,Activision,TRUE,56,0.18,11.95,Nintendo DS,E,2005,Action,0,1.216666667
Virtua Tennis: World Tour,TRUE,1,TRUE,TRUE,Sega,TRUE,84,0.18,14.95,Sony PSP,M,2005,Sports,0,0
Prince of Persia: Revelations,TRUE,1,TRUE,TRUE,Ubisoft,TRUE,65,0.17,6.95,Sony PSP,E,2005,Action,0,0
Burnout Legends,TRUE,1,TRUE,TRUE,EA,TRUE,38,0.16,17.95,Nintendo DS,E,2005,Action,15.36666667,6.516666667
Meteos,TRUE,1,TRUE,TRUE,Nintendo,TRUE,88,0.16,15.95,Nintendo DS,E,2005,Strategy,23.75,8.516666667
Spyro: Shadow Legacy,TRUE,1,TRUE,TRUE,,TRUE,50,0.15,17.95,Nintendo DS,E,2005,Role-Playing,6,2.516666667
The Con,TRUE,1,TRUE,TRUE,Sony,TRUE,63,0.15,8.95,Sony PSP,E,2005,Action,0,0
Infected,TRUE,1,TRUE,TRUE,,TRUE,74,0.15,17.95,Sony PSP,E,2005,Action,0,6.666666667
Pursuit Force,TRUE,1,TRUE,TRUE,Sony,TRUE,75,0.14,14.95,Sony PSP,M,2005,Action,0,9.75
Kingdom of Paradise,TRUE,2,TRUE,TRUE,Sony,TRUE,72,0.13,12.95,Sony PSP,E,2005,Action,0,0
Dragon Ball Z: Supersonic Warriors 2,TRUE,1,TRUE,TRUE,Atari,TRUE,66,0.13,22.95,Nintendo DS,E,2005,Action,15.25,14.96666667
Dragon Quest Heroes: Rocket Slime,TRUE,1,TRUE,TRUE,SquareEnix,TRUE,83,0.13,12.95,Nintendo DS,T,2005,Action,22.61666667,12.58333333
Dead to Rights: Reckoning,TRUE,1,TRUE,TRUE,Namco,TRUE,54,0.13,14.95,Sony PSP,E,2005,Action,5,2.15
Amped 3,TRUE,1,TRUE,TRUE,2K,TRUE,72,0.13,14.95,X360,E,2005,Sports,9,6.333333333
Break 'em All,TRUE,1,TRUE,TRUE,,TRUE,68,0.12,17.95,Nintendo DS,T,2005,Action,0,0
Lunar: Dragon Song,TRUE,1,TRUE,TRUE,Ubisoft,TRUE,59,0.12,14.95,Nintendo DS,M,2005,Role-Playing,29.61666667,20.31666667
Madden NFL 06,TRUE,1,TRUE,TRUE,EA,TRUE,66,0.12,9.95,Nintendo DS,E,2005,Sports,3.75,0
Retro Atari Classics,TRUE,1,TRUE,TRUE,Atari,TRUE,51,0.12,12.95,Nintendo DS,E,2005,Action,0,0
True Swing Golf,TRUE,1,TRUE,TRUE,Nintendo,TRUE,66,0.12,14.95,Nintendo DS,E,2005,Sports,0,0
FIFA Soccer,TRUE,1,TRUE,TRUE,EA,TRUE,73,0.12,14.95,Sony PSP,E,2005,Sports,0,0
Metal Gear Ac!d 2,TRUE,1,TRUE,TRUE,Konami,TRUE,80,0.12,12.95,Sony PSP,E,2005,Strategy,0,13.45
ATV Quad Frenzy,TRUE,1,TRUE,TRUE,,TRUE,35,0.11,14.95,Nintendo DS,T,2005,Racing,0,0
Bomberman,TRUE,1,TRUE,TRUE,Ubisoft,TRUE,75,0.11,17.95,Nintendo DS,E,2005,Strategy,0,3.333333333
GoldenEye: Rogue Agent,TRUE,1,TRUE,TRUE,EA,TRUE,58,0.11,14.95,Nintendo DS,T,2005,Action,0,9.416666667
Need for Speed Underground 2,TRUE,1,TRUE,TRUE,EA,TRUE,65,0.11,22.95,Nintendo DS,T,2005,Racing,23.36666667,19.6
Frogger: Helmet Chaos,TRUE,1,TRUE,TRUE,Konami,TRUE,66,0.11,19.95,Sony PSP,E,2005,Action,0,0
The Lord of the Rings: Tactics,TRUE,1,TRUE,TRUE,EA,TRUE,64,0.11,19.95,Sony PSP,M,2005,Role-Playing,0,5
Rengoku: The Tower of Purgatory,TRUE,1,TRUE,TRUE,Konami,TRUE,43,0.11,12.95,Sony PSP,E,2005,Action,0,4.716666667
Gretzky NHL,TRUE,2,TRUE,TRUE,Sony,TRUE,61,0.1,9.95,Sony PSP,E,2005,Sports,0,0
Ridge Racer 6,TRUE,2,TRUE,TRUE,"EA,Namco",TRUE,74,0.1,14.95,X360,E,2005,Racing,0,8
Ford Racing 3,TRUE,1,TRUE,TRUE,,TRUE,49,0.1,14.95,Nintendo DS,E,2005,Action,8.4,3.333333333
NHL 2K6 ,TRUE,1,TRUE,TRUE,2K,TRUE,75,0.1,5.95,X360,T,2005,Sports,2.5,0
Bust-a-Move DS,TRUE,1,TRUE,TRUE,,TRUE,75,0.09,17.95,Nintendo DS,E,2005,Action,0,0
Battles of Prince of Persia,TRUE,1,TRUE,TRUE,Ubisoft,TRUE,64,0.09,14.95,Nintendo DS,E,2005,Strategy,0,8.5
GripShift,TRUE,1,TRUE,TRUE,Ubisoft,TRUE,70,0.09,9.95,Sony PSP,E,2005,Racing,0,0
Marvel Nemesis: Rise of the Imperfects ,TRUE,1,TRUE,TRUE,EA,TRUE,34,0.08,14.95,Nintendo DS,T,2005,Action,0,4.366666667
Scooby-Doo! Unmasked,TRUE,1,TRUE,TRUE,THQ,TRUE,60,0.08,17.95,Nintendo DS,E,2005,Action,0,8
Viewtiful Joe: Double Trouble!,TRUE,1,TRUE,TRUE,Capcom,TRUE,73,0.08,14.95,Nintendo DS,E,2005,Action,0,5.166666667
The Legend of Heroes: A Tear of Vermillion,TRUE,1,TRUE,TRUE,,TRUE,68,0.08,17.95,Sony PSP,T,2005,Role-Playing,38.5,26.26666667
PQ: Practical Intelligence Quotient,TRUE,1,TRUE,TRUE,,TRUE,69,0.08,14.95,Sony PSP,E,2005,Strategy,0,0
Lost in Blue,TRUE,1,TRUE,TRUE,Konami,TRUE,69,0.07,24.95,Nintendo DS,T,2005,Role-Playing,22.25,0
Ghost in the Shell: Stand Alone Complex,TRUE,1,TRUE,TRUE,Sony,TRUE,61,0.07,14.95,Sony PSP,E,2005,Action,0,0
Dig Dug: Digging Strike,TRUE,1,TRUE,TRUE,Namco,TRUE,65,0.06,16.95,Nintendo DS,E,2005,Action,0,0
Frogger: Helmet Chaos,TRUE,1,TRUE,TRUE,Konami,TRUE,69,0.06,17.95,Nintendo DS,E,2005,Action,0,0
Mega Man Battle Network 5: Double Team DS,TRUE,1,TRUE,TRUE,Capcom,TRUE,68,0.06,17.95,Nintendo DS,E,2005,Action,48.15,29.91666667
Nanostray,TRUE,1,TRUE,TRUE,THQ,TRUE,71,0.06,17.95,Nintendo DS,E,2005,Action,0,1.433333333
Sega Casino,TRUE,1,TRUE,TRUE,Sega,TRUE,61,0.06,17.95,Nintendo DS,M,2005,Simulation,0,0
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,TRUE,1,TRUE,TRUE,Konami,TRUE,58,0.06,17.95,Nintendo DS,T,2005,Action,0,4.5
Pac-Man World 3,TRUE,1,TRUE,TRUE,"EA,Namco",TRUE,61,0.06,24.95,Sony PSP,E,2005,Action,0,8
Tokobot,TRUE,1,TRUE,TRUE,,TRUE,72,0.06,17.95,Sony PSP,T,2005,Strategy,0,8.45
Fullmetal Alchemist: Dual Sympathy,TRUE,1,TRUE,TRUE,,TRUE,58,0.05,14.95,Nintendo DS,M,2005,Action,0,14
Exit,TRUE,1,TRUE,TRUE,Ubisoft,TRUE,77,0.05,9.95,Sony PSP,E,2005,Action,0,6
Bubble Bobble Revolution,TRUE,1,TRUE,TRUE,,TRUE,38,0.04,17.95,Nintendo DS,M,2005,Action,0,0
The Rub Rabbits!,TRUE,2,TRUE,TRUE,Sega,TRUE,68,0.02,17.95,Nintendo DS,M,2005,Action,0,2.166666667
Electroplankton,TRUE,1,TRUE,TRUE,Nintendo,TRUE,71,0.01,29.95,Nintendo DS,T,2005,Simulation,0.5,0.416666667
LifeSigns: Surgical Unit,TRUE,1,TRUE,TRUE,,TRUE,61,0.01,22.95,Nintendo DS,T,2005,Simulation,30.51666667,0
Space Invaders Revolution,TRUE,1,TRUE,TRUE,,TRUE,49,0.01,13.95,Nintendo DS,E,2005,Action,0,0
Wii Play,TRUE,2,TRUE,TRUE,Nintendo,TRUE,58,14.66,14.95,Nintendo Wii,T,2006,Action,0,4.083333333
New Super Mario Bros.,TRUE,1,TRUE,TRUE,Nintendo,TRUE,89,10.03,27.95,Nintendo DS,T,2006,Action,17.06666667,7.2
Pokmon Diamond,TRUE,1,TRUE,TRUE,Nintendo,TRUE,85,6.77,27.95,Nintendo DS,E,2006,Role-Playing,265.2,42.63333333
Pokmon Pearl,TRUE,1,TRUE,TRUE,Nintendo,TRUE,85,6.77,26.95,Nintendo DS,E,2006,Role-Playing,265.2,42.63333333
Gears of War,TRUE,2,TRUE,TRUE,Microsoft,TRUE,94,3.7,19.95,X360,M,2006,Action,29,9.183333333
The Legend of Zelda: Twilight Princess,TRUE,1,TRUE,TRUE,Nintendo,TRUE,95,3.33,39.95,Nintendo Wii,M,2006,Action,55.3,37.26666667
Cooking Mama,TRUE,1,TRUE,TRUE,,TRUE,67,2.9,17.95,Nintendo DS,M,2006,Simulation,0,8.633333333
Marvel Ultimate Alliance,TRUE,4,TRUE,TRUE,Activision,TRUE,82,2.42,14.95,X360,T,2006,Action,25.38333333,12.86666667
Daxter,TRUE,1,TRUE,TRUE,Sony,TRUE,85,2.38,14.95,Sony PSP,T,2006,Action,14.28333333,7.35
The Elder Scrolls IV: Oblivion,TRUE,1,TRUE,TRUE,2K,TRUE,94,2.12,19.95,X360,E,2006,Action,195.0333333,26.83333333
Madden NFL 07,TRUE,2,TRUE,TRUE,EA,TRUE,80,1.77,4.95,X360,E,2006,Sports,0,0
Grand Theft Auto: Vice City Stories,TRUE,1,TRUE,TRUE,Rockstar,TRUE,86,1.72,17.95,Sony PSP,E,2006,Action,45.61666667,16.65
Resistance: Fall of Man,TRUE,4,TRUE,TRUE,Sony,TRUE,86,1.61,19.95,PlayStation 3,E,2006,Action,18.58333333,11.75
MotorStorm,TRUE,1,TRUE,TRUE,Sony,TRUE,82,1.58,16.95,PlayStation 3,T,2006,Action,16.88333333,13.85
Call of Duty 3,TRUE,2,TRUE,TRUE,Activision,TRUE,82,1.51,16.95,X360,T,2006,Action,9.8,8.3
Yoshi's Island DS,TRUE,1,TRUE,TRUE,Nintendo,TRUE,81,1.49,27.95,Nintendo DS,E,2006,Action,0,8.516666667
Tom Clancy's Ghost Recon: Advanced Warfighter,TRUE,4,TRUE,TRUE,Ubisoft,TRUE,90,1.46,14.95,X360,E,2006,Action,0,8.666666667
Fight Night Round 3,TRUE,2,TRUE,TRUE,EA,TRUE,86,1.4,14.95,X360,E,2006,Action,10.58333333,11.03333333
Pokmon Ranger,TRUE,1,TRUE,TRUE,Nintendo,TRUE,69,1.36,19.95,Nintendo DS,E,2006,Role-Playing,36.88333333,12.55
Rayman Raving Rabbids,TRUE,4,TRUE,TRUE,Ubisoft,TRUE,76,1.26,17.95,Nintendo Wii,T,2006,Action,8.1,5.8
Saints Row,TRUE,1,TRUE,TRUE,THQ,TRUE,81,1.23,14.95,X360,T,2006,Action,55.61666667,17.88333333
Tom Clancy's Rainbow Six: Vegas,TRUE,2,TRUE,TRUE,Ubisoft,TRUE,88,1.19,14.95,X360,E,2006,Action,12,8.75
Dead Rising,TRUE,1,TRUE,TRUE,Capcom,TRUE,85,1.16,16.95,X360,E,2006,Action,55.56666667,11.08333333
Call of Duty 3,TRUE,1,TRUE,TRUE,Activision,TRUE,69,1.15,19.95,Nintendo Wii,E,2006,Action,9.8,8.3
Lost Planet: Extreme Condition,TRUE,1,TRUE,TRUE,Capcom,TRUE,79,1.15,12.95,X360,M,2006,Action,12.7,8.566666667
Mario Hoops 3 on 3,TRUE,1,TRUE,TRUE,Nintendo,TRUE,69,1.03,22.95,Nintendo DS,M,2006,Sports,0,3.5
LEGO Star Wars II: The Original Trilogy,TRUE,1,TRUE,TRUE,EA,TRUE,47,1.02,17.95,Nintendo DS,E,2006,Action,27.85,11.25
Super Monkey Ball: Banana Blitz,TRUE,4,TRUE,TRUE,Sega,TRUE,74,1,14.95,Nintendo Wii,T,2006,Action,0,5.316666667
The Sims 2: Pets,TRUE,1,TRUE,TRUE,EA,TRUE,49,0.97,14.95,Nintendo DS,T,2006,Simulation,0,0
Need for Speed: Carbon - Own the City,TRUE,1,TRUE,TRUE,EA,TRUE,73,0.93,16.95,Sony PSP,E,2006,Racing,20.35,15.71666667
WarioWare: Smooth Moves,TRUE,6,TRUE,TRUE,Nintendo,TRUE,83,0.9,39.95,Nintendo Wii,T,2006,Action,7.783333333,2.766666667
Fight Night Round 3,TRUE,2,TRUE,TRUE,EA,TRUE,83,0.86,13.95,PlayStation 3,T,2006,Action,10.58333333,11.03333333
Final Fantasy III,TRUE,1,TRUE,TRUE,SquareEnix,TRUE,77,0.86,17.95,Nintendo DS,E,2006,Role-Playing,89.7,27.71666667
