Movie Title,Movie Year,Runtime,Genre,Rating,Director,Votes,Gross
The Omen,1976,111,"Horror, Mystery",7.5,Richard Donner,"1,24,612",$4.27M
Grindhouse,2007,191,"Action, Horror, Thriller",7.5,Robert Rodriguez,"1,87,623",$25.04M
Braindead,1992,104,"Comedy, Fantasy, Horror",7.5,Peter Jackson,"1,00,216",$0.24M
Godzilla,1954,96,"Horror, Sci-Fi",7.5,Ishirô Honda,"35,705",$2.42M
Deep Red,1975,127,"Horror, Mystery, Thriller",7.5,Dario Argento,"40,206",
Stree,2018,128,"Comedy, Horror",7.5,Amar Kaushik,"36,079",
The Evil Dead,1981,85,Horror,7.4,Sam Raimi,"2,22,282",$2.40M
Scream,1996,111,"Horror, Mystery",7.4,Wes Craven,"3,65,136",$103.05M
Bram Stoker's Dracula,1992,128,"Drama, Fantasy, Horror",7.4,Francis Ford Coppola,"2,26,027",$82.52M
Army of Darkness,1992,81,"Comedy, Horror",7.4,Sam Raimi,"1,86,854",$11.50M
The Rocky Horror Picture Show,1975,100,"Comedy, Horror, Musical",7.4,Jim Sharman,"1,58,254",$139.88M
A Nightmare on Elm Street,1984,91,Horror,7.4,Wes Craven,"2,48,750",$25.50M
The Texas Chain Saw Massacre,1974,83,Horror,7.4,Tobe Hooper,"1,70,855",$30.86M
Carrie,1976,98,"Horror, Mystery",7.4,Brian De Palma,"1,95,170",$33.80M
The Wailing,2016,156,"Drama, Horror, Mystery",7.4,Na Hong-jin,"73,981",
Jacob's Ladder I,1990,113,"Drama, Horror, Mystery",7.4,Adrian Lyne,"1,13,045",$26.12M
Invasion of the Body Snatchers,1978,115,"Horror, Sci-Fi",7.4,Philip Kaufman,"64,115",$24.95M
REC,2007,78,"Horror, Mystery, Thriller",7.4,Jaume Balagueró,"1,87,741",
The Orphanage,2007,105,"Drama, Horror, Mystery",7.4,J.A. Bayona,"1,59,601",$7.16M
Nosferatu the Vampyre,1979,107,"Drama, Horror",7.4,Werner Herzog,"38,215",
Dracula,1931,75,"Drama, Fantasy, Horror",7.4,Tod Browning,"55,288",
The Devil's Backbone,2001,106,"Drama, Horror, Thriller",7.4,Guillermo del Toro,"68,728",$0.75M
The Haunting,1963,112,Horror,7.4,Robert Wise,"40,711",$2.62M
Thesis,1996,125,"Crime, Horror, Mystery",7.4,Alejandro Amenábar,"40,595",
Bhool Bhulaiyaa,2007,159,"Comedy, Horror, Mystery",7.4,Priyadarshan,"30,282",$1.07M
Hereditary,2018,127,"Drama, Horror, Mystery",7.3,Ari Aster,"3,43,335",$44.07M
It I,2017,135,Horror,7.3,Andy Muschietti,"5,71,035",$327.48M
Split IX,2016,117,"Horror, Thriller",7.3,M. Night Shyamalan,"5,19,308",$138.29M
Doctor Sleep,2019,152,"Drama, Fantasy, Horror",7.3,Mike Flanagan,"2,02,482",$31.58M
Dawn of the Dead,2004,101,"Action, Horror",7.3,Zack Snyder,"2,63,099",$59.02M
Possession,1981,124,"Drama, Horror",7.3,Andrzej Zulawski,"36,874",$1.11M
Poltergeist,1982,114,"Horror, Thriller",7.3,Tobe Hooper,"1,70,924",$76.61M
Sweeney Todd: The Demon Barber of Fleet Street,2007,116,"Drama, Horror, Musical",7.3,Tim Burton,"3,76,557",$52.90M
Gremlins,1984,106,"Comedy, Fantasy, Horror",7.3,Joe Dante,"2,34,614",$148.17M
The Conjuring 2,2016,134,"Horror, Mystery, Thriller",7.3,James Wan,"2,82,543",$102.47M
Sleepy Hollow,1999,105,"Fantasy, Horror, Mystery",7.3,Tim Burton,"3,70,303",$101.07M
Take Shelter,2011,120,"Drama, Horror, Sci-Fi",7.3,Jeff Nichols,"1,03,846",$1.73M
Eraserhead,1977,89,"Fantasy, Horror",7.3,David Lynch,"1,21,484",$7.00M
Suspiria,1977,92,Horror,7.3,Dario Argento,"98,751",
The Return of the Living Dead,1985,91,"Comedy, Horror, Sci-Fi",7.3,Dan O'Bannon,"64,592",$14.24M
Twin Peaks: Fire Walk with Me,1992,134,"Drama, Horror, Mystery",7.3,David Lynch,"1,00,656",$4.16M
House,1977,88,"Comedy, Horror",7.3,Nobuhiko Ôbayashi,"30,498",
Pi,1998,84,"Drama, Horror, Mystery",7.3,Darren Aronofsky,"1,82,946",$3.22M
The Hidden Face,2011,97,"Drama, Horror, Mystery",7.3,Andrés Baiz,"44,415",
Bacurau,2019,131,"Action, Adventure, Drama",7.3,Juliano Dornelles,"29,082",
The Menu,2022,107,"Comedy, Horror, Thriller",7.2,Mark Mylod,"3,23,131",
From Dusk Till Dawn,1996,108,"Action, Crime, Horror",7.2,Robert Rodriguez,"3,26,069",$25.75M
The Lost Boys,1987,97,"Comedy, Horror",7.2,Joel Schumacher,"1,50,478",$32.22M
A Quiet Place Part II,2020,97,"Drama, Horror, Sci-Fi",7.2,John Krasinski,"2,48,967",$160.07M
The Descent,2005,99,"Adventure, Horror, Thriller",7.2,Neil Marshall,"2,33,687",$26.02M
They Live,1988,94,"Action, Horror, Sci-Fi",7.2,John Carpenter,"1,36,510",$13.01M
I Am Legend,2007,101,"Action, Drama, Horror",7.2,Francis Lawrence,"7,81,259",$256.39M
10 Cloverfield Lane,2016,103,"Drama, Horror, Mystery",7.2,Dan Trachtenberg,"3,40,537",$72.08M
Dead Ringers,1988,116,"Drama, Horror, Thriller",7.2,David Cronenberg,"50,992",$9.13M
Angel Heart,1987,113,"Horror, Mystery, Thriller",7.2,Alan Parker,"91,791",$17.19M
An American Crime,2007,98,"Biography, Crime, Drama",7.2,Tommy O'Haver,"35,826",
Videodrome,1983,87,"Horror, Sci-Fi, Thriller",7.2,David Cronenberg,"97,693",$2.12M
Re-Animator,1985,84,"Comedy, Horror, Sci-Fi",7.2,Stuart Gordon,"68,040",$2.02M
Only Lovers Left Alive,2013,123,"Comedy, Drama, Fantasy",7.2,Jim Jarmusch,"1,04,159",$1.88M
The Changeling,1980,107,"Horror, Mystery",7.2,Peter Medak,"37,163",
Ringu,1998,96,"Horror, Mystery",7.2,Hideo Nakata,"73,508",
The Dead Zone,1983,103,"Drama, Horror, Sci-Fi",7.2,David Cronenberg,"73,727",$20.77M
Sleep Tight,2011,102,"Crime, Drama, Horror",7.2,Jaume Balagueró,"44,718",
Horror of Dracula,1958,82,"Drama, Horror",7.2,Terence Fisher,"26,472",
The Wolf Man,1941,70,"Horror, Mystery, Romance",7.2,George Waggner,"28,724",
Midsommar,2019,148,"Drama, Horror, Mystery",7.1,Ari Aster,"3,54,167",$27.33M
The Ring,2002,115,"Horror, Mystery",7.1,Gore Verbinski,"3,60,824",$129.13M
Prey I,2022,100,"Action, Adventure, Drama",7.1,Dan Trachtenberg,"2,07,940",
The Mist,2007,126,"Horror, Sci-Fi, Thriller",7.1,Frank Darabont,"3,23,435",$25.59M
Don't Breathe,2016,88,"Crime, Horror, Thriller",7.1,Fede Alvarez,"2,86,498",$89.22M
Little Shop of Horrors,1986,94,"Comedy, Horror, Musical",7.1,Frank Oz,"80,770",$38.75M
Blade,1998,120,"Action, Horror, Sci-Fi",7.1,Stephen Norrington,"2,85,069",$70.09M
Bone Tomahawk,2015,132,"Drama, Horror, Western",7.1,S. Craig Zahler,"1,07,954",
The Invisible Man I,2020,124,"Drama, Horror, Mystery",7.1,Leigh Whannell,"2,38,588",$70.41M
Tremors,1990,96,"Comedy, Horror",7.1,Ron Underwood,"1,43,452",$16.67M
Planet Terror,2007,105,"Action, Comedy, Horror",7.1,Robert Rodriguez,"2,17,087",
The Call,2020,112,"Crime, Horror, Mystery",7.1,Chung-Hyun Lee,"37,886",
Don't Look Now,1973,110,"Drama, Horror, Mystery",7.1,Nicolas Roeg,"58,877",$0.98M
Let Me In I,2010,116,"Drama, Fantasy, Horror",7.1,Matt Reeves,"1,24,539",$12.13M
Cube,1997,90,"Drama, Horror, Mystery",7.1,Vincenzo Natali,"2,39,015",$0.50M
The Frighteners,1996,110,"Comedy, Fantasy, Horror",7.1,Peter Jackson,"91,980",$16.76M
Audition,1999,115,"Drama, Horror, Mystery",7.1,Takashi Miike,"84,967",
In the Mouth of Madness,1994,95,"Drama, Fantasy, Horror",7.1,John Carpenter,"74,185",$8.95M
The Host,2006,120,"Drama, Horror, Sci-Fi",7.1,Bong Joon Ho,"1,27,160",$2.20M
The Thing from Another World,1951,87,"Horror, Sci-Fi",7.1,Christian Nyby,"31,634",
Day of the Dead,1985,101,"Horror, Thriller",7.1,George A. Romero,"71,624",$5.80M
Timecrimes,2007,92,"Horror, Mystery, Sci-Fi",7.1,Nacho Vigalondo,"66,167",$0.04M
Black Christmas,1974,98,"Horror, Mystery, Thriller",7.1,Bob Clark,"44,485",$4.05M
A Tale of Two Sisters,2003,114,"Drama, Horror, Mystery",7.1,Jee-woon Kim,"65,125",
Thirst,2009,134,"Drama, Fantasy, Horror",7.1,Park Chan-wook,"49,291",$0.30M
The Fearless Vampire Killers,1967,91,"Comedy, Horror",7.1,Roman Polanski,"32,778",
Pearl,2022,103,"Drama, Horror, Thriller",7,Ti West,"60,574",
Barbarian,2022,102,"Horror, Mystery, Thriller",7,Zach Cregger,"1,50,220",
Orphan,2009,123,"Horror, Mystery, Thriller",7,Jaume Collet-Serra,"2,40,096",$41.60M
Last Night in Soho,2021,116,"Drama, Horror, Mystery",7,Edgar Wright,"1,51,594",
The Platform,2019,94,"Horror, Sci-Fi, Thriller",7,Galder Gaztelu-Urrutia,"2,46,812",
Cloverfield,2008,85,"Action, Adventure, Horror",7,Matt Reeves,"4,09,328",$80.05M
The Cabin in the Woods,2011,95,"Horror, Mystery, Thriller",7,Drew Goddard,"4,31,746",$42.07M
Martyrs,2008,99,Horror,7,Pascal Laugier,"1,00,077",
The Killing of a Sacred Deer,2017,121,"Drama, Horror, Mystery",7,Yorgos Lanthimos,"1,64,977",$2.29M
World War Z,2013,116,"Action, Adventure, Horror",7,Marc Forster,"6,88,746",$202.36M
Constantine,2005,121,"Action, Fantasy, Horror",7,Francis Lawrence,"3,59,071",$75.98M
Pitch Black,2000,109,"Action, Horror, Sci-Fi",7,David Twohy,"2,47,313",$39.24M
Hotel Transylvania,2012,91,"Animation, Adventure, Comedy",7,Genndy Tartakovsky,"2,66,508",$148.31M
Hellboy II: The Golden Army,2008,120,"Action, Adventure, Fantasy",7,Guillermo del Toro,"2,78,818",$75.75M
Green Room,2015,95,"Crime, Drama, Horror",7,Jeremy Saulnier,"1,31,693",$3.22M
Fright Night,1985,106,"Fantasy, Horror",7,Tom Holland,"74,547",$24.92M
Raw,2016,99,"Drama, Horror",7,Julia Ducournau,"83,304",$0.51M
Brotherhood of the Wolf,2001,142,"Action, Adventure, Drama",7,Christophe Gans,"68,793",$11.26M
Shutter II,2004,97,"Horror, Mystery, Thriller",7,Banjong Pisanthanakun,"47,015",
Thelma,2017,116,"Drama, Fantasy, Horror",7,Joachim Trier,"34,644",$0.15M
Henry: Portrait of a Serial Killer,1986,83,"Biography, Crime, Drama",7,John McNaughton,"38,529",$0.61M
Tenebrae,1982,101,"Drama, Horror, Mystery",7,Dario Argento,"25,691",
Carnival of Souls,1962,78,"Horror, Mystery",7,Herk Harvey,"26,143",
The Mummy,1932,73,"Fantasy, Horror",7,Karl Freund,"28,354",
Doctor Strange in the Multiverse of Madness,2022,126,"Action, Adventure, Fantasy",6.9,Sam Raimi,"4,40,936",$411.33M
The Black Phone,2021,103,"Horror, Thriller",6.9,Scott Derrickson,"1,68,369",$90.12M
The VVitch: A New-England Folktale,2015,92,"Drama, Fantasy, Horror",6.9,Robert Eggers,"2,77,751",$25.14M
Climax I,2018,97,"Drama, Horror, Music",6.9,Gaspar Noé,"73,695",$0.80M
28 Weeks Later,2007,100,"Action, Adventure, Horror",6.9,Juan Carlos Fresnadillo,"2,84,000",$28.64M
Hocus Pocus,1993,96,"Comedy, Family, Fantasy",6.9,Kenny Ortega,"1,45,947",$44.34M
Hellraiser,1987,94,"Horror, Thriller",6.9,Clive Barker,"1,32,887",$14.56M
Near Dark,1987,94,Horror,6.9,Kathryn Bigelow,"42,670",$3.37M
Ravenous,1999,101,"Adventure, Drama, Horror",6.9,Antonia Bird,"41,616",$2.06M
Altered States,1980,102,"Horror, Sci-Fi, Thriller",6.9,Ken Russell,"36,892",$19.85M
Stir of Echoes,1999,99,"Horror, Mystery, Thriller",6.9,David Koepp,"84,251",$21.13M
Bubba Ho-Tep,2002,92,"Comedy, Fantasy, Horror",6.9,Don Coscarelli,"50,182",$2.00M
A Girl Walks Home Alone at Night,2014,101,"Drama, Horror, Romance",6.9,Ana Lily Amirpour,"37,115",
The Monster Squad,1987,79,"Action, Comedy, Fantasy",6.9,Fred Dekker,"33,711",$3.77M
Creature from the Black Lagoon,1954,79,"Horror, Sci-Fi",6.9,Jack Arnold,"32,344",$1.30M
Troll Hunter,2010,103,"Drama, Fantasy, Horror",6.9,André Øvredal,"77,389",$0.25M
Shadow of the Vampire,2000,92,"Drama, Horror",6.9,E. Elias Merhige,"43,072",$8.29M
Frankenweenie,2012,87,"Animation, Comedy, Drama",6.9,Tim Burton,"1,12,066",$35.29M
Bhoot Police,2021,129,"Comedy, Horror",6.9,Pavan Kirpalani,"26,993",
Nope,2022,130,"Horror, Mystery, Sci-Fi",6.8,Jordan Peele,"2,32,097",$123.28M
Bones and All,2022,131,"Drama, Horror, Romance",6.8,Luca Guadagnino,"43,064",
Ready or Not I,2019,95,"Action, Comedy, Horror",6.8,Matt Bettinelli-Olpin,"1,64,600",$28.71M
Insidious I,2010,103,"Horror, Mystery, Thriller",6.8,James Wan,"3,19,707",$54.01M
It Follows,2014,100,"Horror, Mystery, Thriller",6.8,David Robert Mitchell,"2,53,503",$14.67M
Annihilation I,2018,115,"Adventure, Drama, Horror",6.8,Alex Garland,"3,40,306",$32.73M
Sinister,2012,110,"Horror, Mystery, Thriller",6.8,Scott Derrickson,"2,64,038",$48.09M
Us II,2019,116,"Horror, Mystery, Thriller",6.8,Jordan Peele,"3,16,383",$175.08M
The House That Jack Built,2018,152,"Crime, Drama, Horror",6.8,Lars von Trier,"83,053",$0.09M
The Babadook,2014,94,"Horror, Mystery",6.8,Jennifer Kent,"2,34,393",$0.92M
The Autopsy of Jane Doe,2016,86,"Horror, Mystery, Thriller",6.8,André Øvredal,"1,27,065",$0.01M
Warm Bodies,2013,98,"Comedy, Horror, Romance",6.8,Jonathan Levine,"2,36,475",$66.38M
Hellboy,2004,122,"Action, Adventure, Fantasy",6.8,Guillermo del Toro,"3,38,908",$59.62M
Odd Thomas,2013,97,"Comedy, Fantasy, Horror",6.8,Stephen Sommers,"55,393",
Exam,2009,101,"Crime, Horror, Mystery",6.8,Stuart Hazeldine,"1,20,312",
1408,2007,104,"Fantasy, Horror, Mystery",6.8,Mikael Håfström,"2,82,365",$71.99M
The Fog,1980,89,"Horror, Thriller",6.8,John Carpenter,"78,302",$21.38M
Creepshow,1982,120,"Comedy, Fantasy, Horror",6.8,George A. Romero,"50,496",$21.03M
Ginger Snaps,2000,108,"Drama, Fantasy, Horror",6.8,John Fawcett,"49,563",$0.00M
The Witches,1990,91,"Adventure, Comedy, Family",6.8,Nicolas Roeg,"52,433",$10.36M
eXistenZ,1999,97,"Horror, Mystery, Sci-Fi",6.8,David Cronenberg,"1,03,653",$2.84M
Dog Soldiers,2002,105,"Action, Horror, Thriller",6.8,Neil Marshall,"62,964",
Dead Calm,1989,96,"Horror, Thriller",6.8,Phillip Noyce,"42,222",$7.83M
Shin Godzilla,2016,120,"Action, Drama, Horror",6.8,Hideaki Anno,"29,845",$1.92M
Zombie,1979,91,Horror,6.8,Lucio Fulci,"29,370",
The Brood,1979,92,"Horror, Sci-Fi",6.8,David Cronenberg,"32,397",
Night of the Living Dead,1990,92,Horror,6.8,Tom Savini,"43,906",$5.84M
House on Haunted Hill,1959,75,"Crime, Horror, Mystery",6.8,William Castle,"29,039",
Stonehearst Asylum,2014,112,"Drama, Horror, Mystery",6.8,Brad Anderson,"58,532",
Under the Shadow,2016,84,"Drama, Fantasy, Horror",6.8,Babak Anvari,"28,891",$0.03M
Dead Snow 2: Red vs. Dead,2014,100,"Action, Comedy, Fantasy",6.8,Tommy Wirkola,"25,807",
Evil Dead Rise,2023,96,Horror,6.7,Lee Cronin,"78,836",
Suspiria I,2018,152,"Drama, Fantasy, Horror",6.7,Luca Guadagnino,"84,786",$2.47M
Eden Lake,2008,91,"Horror, Thriller",6.7,James Watkins,"89,408",$0.01M
Final Destination,2000,98,"Horror, Thriller",6.7,James Wong,"2,66,158",$53.33M
Fresh,2022,114,"Horror, Thriller",6.7,Mimi Cave,"63,592",
Zombieland: Double Tap,2019,99,"Action, Comedy, Horror",6.7,Ruben Fleischer,"1,89,496",$73.12M
The Devil's Rejects,2005,107,"Crime, Horror, Western",6.7,Rob Zombie,"1,03,048",$17.04M
Pandorum,2009,108,"Action, Horror, Mystery",6.7,Christian Alvart,"1,55,042",$10.33M
Christine,1983,110,"Horror, Thriller",6.7,John Carpenter,"87,453",$21.20M
Marrowbone,2017,110,"Adventure, Drama, Horror",6.7,Sergio G. Sánchez,"35,303",$0.00M
The Gift,2000,111,"Drama, Fantasy, Horror",6.7,Sam Raimi,"72,059",$12.01M
Blade II,2002,117,"Action, Horror, Sci-Fi",6.7,Guillermo del Toro,"2,25,970",$82.35M
High Tension,2003,91,Horror,6.7,Alexandre Aja,"74,795",$3.68M
Candyman,1992,99,"Horror, Thriller",6.7,Bernard Rose,"95,591",$25.79M
Return to Oz,1985,113,"Adventure, Family, Fantasy",6.7,Walter Murch,"28,909",
Saint Maud,2019,84,"Drama, Horror, Mystery",6.7,Rose Glass,"41,913",
From Hell,2001,122,"Horror, Mystery, Thriller",6.7,Albert Hughes,"1,59,793",$31.60M
Fear Street: Part Two - 1978,2021,109,"Drama, Horror, Mystery",6.7,Leigh Janiak,"69,358",
Scanners,1981,103,"Horror, Sci-Fi, Thriller",6.7,David Cronenberg,"58,736",$14.23M
The Exorcism of Emily Rose,2005,119,"Drama, Horror, Thriller",6.7,Scott Derrickson,"1,34,571",$75.07M
Summer of 84,2018,105,"Drama, Horror, Mystery",6.7,François Simard,"43,321",$0.09M
Inside,2007,82,Horror,6.7,Alexandre Bustillo,"42,811",
Trick 'r Treat,2007,82,"Comedy, Horror",6.7,Michael Dougherty,"97,225",
Phenomena,1985,116,"Crime, Horror, Mystery",6.7,Dario Argento,"28,456",
Where the Wild Things Are,2009,101,"Adventure, Drama, Family",6.7,Spike Jonze,"1,06,812",$77.23M
Goodnight Mommy,2014,99,"Horror, Mystery, Thriller",6.7,Severin Fiala,"57,113",$1.17M
Spring I,2014,109,"Horror, Romance, Sci-Fi",6.7,Justin Benson,"29,941",$0.05M
Tales from the Crypt: Demon Knight,1995,92,"Action, Fantasy, Horror",6.7,Ernest R. Dickerson,"25,144",$21.09M
Ju-on: The Grudge,2002,92,Horror,6.7,Takashi Shimizu,"46,324",$0.33M
Turbo Kid,2015,93,"Action, Adventure, Comedy",6.7,François Simard,"28,926",$0.05M
Cronos,1992,94,"Drama, Fantasy, Horror",6.7,Guillermo del Toro,"31,873",$0.62M
Housebound,2014,107,"Comedy, Horror, Mystery",6.7,Gerard Johnstone,"36,448",
Dark Water,2002,101,"Drama, Horror, Mystery",6.7,Hideo Nakata,"33,695",
Los ojos de Julia,2010,118,"Horror, Mystery, Thriller",6.7,Guillem Morales,"36,473",
Fido,2006,93,"Comedy, Drama, Horror",6.7,Andrew Currie,"29,699",$0.30M
X II,2022,105,"Horror, Mystery, Thriller",6.6,Ti West,"1,32,694",
Scream VI,2023,122,"Horror, Mystery, Thriller",6.6,Matt Bettinelli-Olpin,"81,797",
The Pale Blue Eye,2022,128,"Crime, Horror, Mystery",6.6,Scott Cooper,"1,07,713",
Bird Box,2018,124,"Horror, Mystery, Sci-Fi",6.6,Susanne Bier,"3,60,116",
Mother!,2017,121,"Drama, Horror, Mystery",6.6,Darren Aronofsky,"2,36,605",$17.80M
Event Horizon,1997,96,"Horror, Sci-Fi, Thriller",6.6,Paul W.S. Anderson,"1,88,518",$26.67M
Speak No Evil,2022,97,"Drama, Horror, Thriller",6.6,Christian Tafdrup,"27,616",
Life I,2017,104,"Horror, Sci-Fi, Thriller",6.6,Daniel Espinosa,"2,40,377",$30.23M
Resident Evil,2002,100,"Action, Horror, Sci-Fi",6.6,Paul W.S. Anderson,"2,79,094",$40.12M
You're Next,2011,95,"Horror, Thriller",6.6,Adam Wingard,"1,04,174",$18.47M
The Faculty,1998,104,"Horror, Mystery, Sci-Fi",6.6,Robert Rodriguez,"1,28,887",$40.06M
Glass,2019,129,"Drama, Horror, Sci-Fi",6.6,M. Night Shyamalan,"2,54,065",$111.05M
Drag Me to Hell,2009,99,Horror,6.6,Sam Raimi,"2,10,357",$42.10M
30 Days of Night,2007,113,"Action, Adventure, Horror",6.6,David Slade,"1,82,693",$39.57M
What Lies Beneath,2000,130,"Drama, Horror, Mystery",6.6,Robert Zemeckis,"1,30,856",$155.46M
Death Becomes Her,1992,104,"Comedy, Fantasy, Horror",6.6,Robert Zemeckis,"1,24,437",$58.42M
Child's Play,1988,87,"Horror, Thriller",6.6,Tom Holland,"1,08,877",$33.24M
The Invitation I,2015,100,"Drama, Horror, Mystery",6.6,Karyn Kusama,"1,14,221",$0.23M
Happy Death Day,2017,96,"Comedy, Horror, Mystery",6.6,Christopher Landon,"1,51,732",$55.68M
Overlord,2018,110,"Action, Horror, Sci-Fi",6.6,Julius Avery,"1,02,874",$21.70M
Hush I,2016,82,"Horror, Thriller",6.6,Mike Flanagan,"1,44,505",
Prince of Darkness,1987,102,Horror,6.6,John Carpenter,"47,009",$14.18M
Saw II,2005,93,"Horror, Mystery",6.6,Darren Lynn Bousman,"2,60,764",$87.04M
From Beyond,1986,85,"Horror, Sci-Fi",6.6,Stuart Gordon,"28,213",$1.26M
A Nightmare on Elm Street 3: Dream Warriors,1987,96,"Fantasy, Horror",6.6,Chuck Russell,"85,536",$44.79M
Hotel Transylvania 2,2015,89,"Animation, Adventure, Comedy",6.6,Genndy Tartakovsky,"1,34,482",$169.70M
The Hunger,1983,97,"Drama, Horror",6.6,Tony Scott,"27,761",$5.98M
The Blob,1988,95,"Horror, Sci-Fi, Thriller",6.6,Chuck Russell,"40,349",$8.25M
The Loved Ones,2009,84,"Crime, Horror",6.6,Sean Byrne,"42,492",
Psycho II,1983,113,"Crime, Horror, Mystery",6.6,Richard Franklin,"28,989",$34.73M
May,2002,93,"Comedy, Drama, Horror",6.6,Lucky McKee,"38,779",$0.15M
Phantasm,1979,89,"Horror, Sci-Fi",6.6,Don Coscarelli,"39,050",$11.99M
Rare Exports,2010,84,"Adventure, Fantasy, Horror",6.6,Jalmari Helander,"30,491",$0.26M
The Girl with All the Gifts,2016,111,"Action, Adventure, Drama",6.6,Colm McCarthy,"62,316",
